punt_global,estu_genero,fami_estratovivienda,fami_tieneinternet,fami_educacionmadre,fami_educacionpadre,cole_mcpio_ubicacion,cole_cod_mcpio_ubicacion,cole_naturaleza,cole_area_ubicacion,desempeno_global
216,M,Estrato 6,Si,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,ENVIGADO,5266,NO OFICIAL,URBANA,Bajo
192,M,Estrato 3,No,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,MEDELLÍN,5001,NO OFICIAL,URBANA,Bajo
367,M,Estrato 3,No,Educación profesional completa,Educación profesional completa,RETIRO,5607,NO OFICIAL,RURAL,Alto
247,M,Estrato 1,Si,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,SEGOVIA,5736,NO OFICIAL,URBANA,Medio
329,F,Estrato 3,No,Secundaria (Bachillerato) completa,No sabe,LA CEJA,5376,NO OFICIAL,URBANA,Alto
359,F,Estrato 6,Si,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,MEDELLÍN,5001,NO OFICIAL,URBANA,Alto
159,F,Sin Estrato,Si,Ninguno,Secundaria (Bachillerato) completa,MEDELLÍN,5001,NO OFICIAL,URBANA,Bajo
278,M,Estrato 5,Si,Educación profesional completa,Postgrado,ENVIGADO,5266,NO OFICIAL,URBANA,Medio
313,M,Estrato 6,Si,Técnica o tecnológica incompleta,Postgrado,SABANETA,5631,NO OFICIAL,URBANA,Medio
172,M,Estrato 6,Si,Secundaria (Bachillerato) incompleta,Educación profesional incompleta,MEDELLÍN,5001,NO OFICIAL,RURAL,Bajo
299,M,Estrato 5,Si,Postgrado,Secundaria (Bachillerato) completa,SABANETA,5631,NO OFICIAL,URBANA,Medio
159,F,Sin Estrato,No,No sabe,No sabe,MEDELLÍN,5001,NO OFICIAL,URBANA,Bajo
185,F,Estrato 1,No,Ninguno,Ninguno,MEDELLÍN,5001,NO OFICIAL,URBANA,Bajo
295,F,Estrato 5,Si,Educación profesional completa,Secundaria (Bachillerato) completa,MEDELLÍN,5001,NO OFICIAL,URBANA,Medio
398,M,Estrato 6,Si,Postgrado,Educación profesional completa,ENVIGADO,5266,NO OFICIAL,RURAL,Alto
283,M,Estrato 5,Si,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) incompleta,EL SANTUARIO,5697,NO OFICIAL,URBANA,Medio
220,F,Estrato 2,No,Técnica o tecnológica incompleta,Secundaria (Bachillerato) incompleta,TURBO,5837,NO OFICIAL,URBANA,Bajo
